term,grade,origination_vintage,origination_amount,charged_off_date,charged_off_amount,MoB
36 months,A,2011-09-30,5852950,2013-05-31,24049,20
36 months,A,2011-09-30,5852950,2013-06-30,17766,21
36 months,A,2011-09-30,5852950,2013-07-31,8170,22
36 months,A,2011-09-30,5852950,2013-08-31,14062,23
36 months,A,2011-09-30,5852950,2013-09-30,4294,24
36 months,A,2011-09-30,5852950,2013-10-31,3043,25
36 months,A,2011-09-30,5852950,2013-11-30,7626,26
36 months,A,2011-09-30,5852950,2013-12-31,1331,27
36 months,A,2011-09-30,5852950,2014-01-31,4745,28
36 months,A,2011-09-30,5852950,2014-02-28,8744,29
36 months,A,2011-09-30,5852950,2014-03-31,3389,30
36 months,A,2011-09-30,5852950,2014-05-31,4650,32
36 months,A,2011-09-30,5852950,2014-06-30,1906,33
36 months,A,2011-09-30,5852950,2014-08-31,878,35
36 months,A,2011-09-30,5852950,2014-09-30,2185,36
36 months,A,2011-09-30,5852950,2014-12-31,475,39
36 months,A,2011-10-31,6594625,,,
36 months,A,2011-10-31,6594625,2012-03-31,3400,5
36 months,A,2011-10-31,6594625,2012-06-30,4745,8
36 months,A,2011-10-31,6594625,2012-07-31,11838,9
36 months,A,2011-10-31,6594625,2012-08-31,5402,10
36 months,A,2011-10-31,6594625,2012-09-30,24638,11
36 months,A,2011-10-31,6594625,2012-10-31,27067,12
36 months,A,2011-10-31,6594625,2012-12-31,10747,14
36 months,A,2011-10-31,6594625,2013-01-31,12780,15
36 months,A,2011-10-31,6594625,2013-02-28,12349,16
36 months,A,2011-10-31,6594625,2013-03-31,3597,17
36 months,A,2011-10-31,6594625,2013-04-30,2756,18
36 months,A,2011-10-31,6594625,2013-05-31,16263,19
36 months,A,2011-10-31,6594625,2013-07-31,7545,21
36 months,A,2011-10-31,6594625,2013-08-31,3873,22
36 months,A,2011-10-31,6594625,2013-09-30,32542,23
36 months,A,2011-10-31,6594625,2013-10-31,14745,24
36 months,A,2011-10-31,6594625,2013-11-30,5184,25
36 months,A,2011-10-31,6594625,2013-12-31,19449,26
36 months,A,2011-10-31,6594625,2014-01-31,7505,27
36 months,A,2011-10-31,6594625,2014-02-28,12648,28
36 months,A,2011-10-31,6594625,2014-03-31,2620,29
36 months,A,2011-10-31,6594625,2014-04-30,10267,30
36 months,A,2011-10-31,6594625,2014-05-31,2298,31
36 months,A,2011-10-31,6594625,2014-06-30,857,32
36 months,A,2011-10-31,6594625,2014-07-31,3060,33
36 months,A,2011-10-31,6594625,2014-09-30,1603,35
36 months,A,2011-10-31,6594625,2014-12-31,1868,38
36 months,A,2011-11-30,5857575,,,
36 months,A,2011-11-30,5857575,2012-04-30,1800,5
36 months,A,2011-11-30,5857575,2012-08-31,5393,9
36 months,A,2011-11-30,5857575,2012-09-30,32984,10
36 months,A,2011-11-30,5857575,2012-10-31,5082,11
36 months,A,2011-11-30,5857575,2012-11-30,4235,12
36 months,A,2011-11-30,5857575,2012-12-31,7331,13
36 months,A,2011-11-30,5857575,2013-01-31,17408,14
