term,grade,origination_vintage,origination_amount,charged_off_date,charged_off_amount,MoB
60 months,E,2011-10-31,2507275,2014-07-31,23150,33
60 months,E,2011-10-31,2507275,2014-09-30,7368,35
60 months,E,2011-10-31,2507275,2014-11-30,11075,37
60 months,E,2011-10-31,2507275,2015-01-31,9094,39
60 months,E,2011-10-31,2507275,2015-02-28,19688,40
60 months,E,2011-10-31,2507275,2015-04-30,9043,42
60 months,E,2011-10-31,2507275,2015-05-31,13815,43
60 months,E,2011-11-30,2574900,,,
60 months,E,2011-11-30,2574900,2012-04-30,18000,5
60 months,E,2011-11-30,2574900,2012-05-31,47528,6
60 months,E,2011-11-30,2574900,2012-06-30,17239,7
60 months,E,2011-11-30,2574900,2012-09-30,24616,10
60 months,E,2011-11-30,2574900,2012-12-31,13748,13
60 months,E,2011-11-30,2574900,2013-01-31,12997,14
60 months,E,2011-11-30,2574900,2013-02-28,61934,15
60 months,E,2011-11-30,2574900,2013-03-31,18785,16
60 months,E,2011-11-30,2574900,2013-04-30,32067,17
60 months,E,2011-11-30,2574900,2013-05-31,43417,18
60 months,E,2011-11-30,2574900,2013-06-30,35138,19
60 months,E,2011-11-30,2574900,2013-07-31,10619,20
60 months,E,2011-11-30,2574900,2013-09-30,29241,22
60 months,E,2011-11-30,2574900,2013-10-31,14431,23
60 months,E,2011-11-30,2574900,2013-11-30,14191,24
60 months,E,2011-11-30,2574900,2013-12-31,38316,25
60 months,E,2011-11-30,2574900,2014-01-31,41072,26
60 months,E,2011-11-30,2574900,2014-03-31,10853,28
60 months,E,2011-11-30,2574900,2014-04-30,44271,29
60 months,E,2011-11-30,2574900,2014-05-31,35526,30
60 months,E,2011-11-30,2574900,2014-06-30,23212,31
60 months,E,2011-11-30,2574900,2014-08-31,3666,33
60 months,E,2011-11-30,2574900,2014-10-31,22925,35
60 months,E,2011-11-30,2574900,2014-12-31,13009,37
60 months,E,2011-11-30,2574900,2015-02-28,3892,39
60 months,E,2011-11-30,2574900,2015-05-31,6162,42
60 months,E,2011-12-31,4027775,,,
60 months,E,2011-12-31,4027775,2012-06-30,15602,6
60 months,E,2011-12-31,4027775,2012-07-31,17279,7
60 months,E,2011-12-31,4027775,2012-09-30,47046,9
60 months,E,2011-12-31,4027775,2012-10-31,33830,10
60 months,E,2011-12-31,4027775,2012-11-30,11834,11
60 months,E,2011-12-31,4027775,2012-12-31,28172,12
60 months,E,2011-12-31,4027775,2013-01-31,50262,13
60 months,E,2011-12-31,4027775,2013-02-28,32946,14
60 months,E,2011-12-31,4027775,2013-03-31,31211,15
60 months,E,2011-12-31,4027775,2013-04-30,7224,16
60 months,E,2011-12-31,4027775,2013-05-31,12834,17
60 months,E,2011-12-31,4027775,2013-07-31,83885,19
60 months,E,2011-12-31,4027775,2013-09-30,3340,21
60 months,E,2011-12-31,4027775,2013-10-31,74342,22
60 months,E,2011-12-31,4027775,2013-11-30,27894,23
60 months,E,2011-12-31,4027775,2013-12-31,9514,24
60 months,E,2011-12-31,4027775,2014-02-28,54498,26
60 months,E,2011-12-31,4027775,2014-03-31,28759,27
60 months,E,2011-12-31,4027775,2014-04-30,23962,28
60 months,E,2011-12-31,4027775,2014-05-31,37390,29
60 months,E,2011-12-31,4027775,2014-06-30,13873,30
60 months,E,2011-12-31,4027775,2014-08-31,13682,32
60 months,E,2011-12-31,4027775,2014-11-30,49558,35
60 months,E,2011-12-31,4027775,2015-01-31,16616,37
60 months,E,2011-12-31,4027775,2015-02-28,6870,38
60 months,E,2011-12-31,4027775,2015-03-31,12009,39
60 months,E,2011-12-31,4027775,2015-04-30,19823,40
60 months,E,2011-12-31,4027775,2015-05-31,41711,41
60 months,E,2011-12-31,4027775,2015-06-30,30421,42
60 months,E,2012-01-31,2473600,,,
60 months,E,2012-01-31,2473600,2012-06-30,4800,5
60 months,E,2012-01-31,2473600,2012-07-31,24757,6
60 months,E,2012-01-31,2473600,2012-09-30,14545,8
60 months,E,2012-01-31,2473600,2012-10-31,23257,9
60 months,E,2012-01-31,2473600,2012-11-30,23685,10
60 months,E,2012-01-31,2473600,2012-12-31,16387,11
60 months,E,2012-01-31,2473600,2013-01-31,24117,12
60 months,E,2012-01-31,2473600,2013-02-28,75959,13
60 months,E,2012-01-31,2473600,2013-03-31,41954,14
60 months,E,2012-01-31,2473600,2013-04-30,34863,15
60 months,E,2012-01-31,2473600,2013-08-31,10490,19
60 months,E,2012-01-31,2473600,2013-09-30,42738,20
60 months,E,2012-01-31,2473600,2013-11-30,43832,22
60 months,E,2012-01-31,2473600,2013-12-31,32145,23
60 months,E,2012-01-31,2473600,2014-01-31,23469,24
60 months,E,2012-01-31,2473600,2014-02-28,4235,25
60 months,E,2012-01-31,2473600,2014-03-31,23696,26
60 months,E,2012-01-31,2473600,2014-05-31,11635,28
60 months,E,2012-01-31,2473600,2014-06-30,53715,29
60 months,E,2012-01-31,2473600,2014-08-31,27245,31
60 months,E,2012-01-31,2473600,2014-11-30,11959,34
60 months,E,2012-01-31,2473600,2014-12-31,13896,35
60 months,E,2012-01-31,2473600,2015-01-31,11418,36
60 months,E,2012-01-31,2473600,2015-02-28,23028,37
60 months,E,2012-01-31,2473600,2015-03-31,30520,38
60 months,E,2012-02-29,2389550,,,
60 months,E,2012-02-29,2389550,2012-08-31,11487,6
60 months,E,2012-02-29,2389550,2012-10-31,7764,8
60 months,E,2012-02-29,2389550,2012-11-30,15521,9
60 months,E,2012-02-29,2389550,2013-01-31,60504,11
60 months,E,2012-02-29,2389550,2013-02-28,15034,12
60 months,E,2012-02-29,2389550,2013-03-31,27502,13
60 months,E,2012-02-29,2389550,2013-04-30,14504,14
60 months,E,2012-02-29,2389550,2013-05-31,16033,15
60 months,E,2012-02-29,2389550,2013-06-30,15286,16
60 months,E,2012-02-29,2389550,2013-08-31,30481,18
60 months,E,2012-02-29,2389550,2013-10-31,17817,20
60 months,E,2012-02-29,2389550,2013-12-31,93341,22
60 months,E,2012-02-29,2389550,2014-02-28,13670,24
60 months,E,2012-02-29,2389550,2014-03-31,38462,25
60 months,E,2012-02-29,2389550,2014-04-30,23334,26
60 months,E,2012-02-29,2389550,2014-06-30,17511,28
60 months,E,2012-02-29,2389550,2014-07-31,20233,29
60 months,E,2012-02-29,2389550,2014-09-30,44031,31
60 months,E,2012-02-29,2389550,2014-10-31,73878,32
60 months,E,2012-02-29,2389550,2014-11-30,26166,33
60 months,E,2012-02-29,2389550,2014-12-31,27559,34
60 months,E,2012-02-29,2389550,2015-02-28,14812,36
60 months,E,2012-03-31,2523325,,,
60 months,E,2012-03-31,2523325,2012-11-30,22833,8
60 months,E,2012-03-31,2523325,2012-12-31,18449,9
60 months,E,2012-03-31,2523325,2013-02-28,22673,11
60 months,E,2012-03-31,2523325,2013-04-30,15578,13
60 months,E,2012-03-31,2523325,2013-06-30,86686,15
60 months,E,2012-03-31,2523325,2013-09-30,13967,18
60 months,E,2012-03-31,2523325,2013-10-31,13742,19
60 months,E,2012-03-31,2523325,2013-12-31,66231,21
60 months,E,2012-03-31,2523325,2014-01-31,35090,22
60 months,E,2012-03-31,2523325,2014-03-31,15518,24
60 months,E,2012-03-31,2523325,2014-05-31,24275,26
60 months,E,2012-03-31,2523325,2014-06-30,18978,27
60 months,E,2012-03-31,2523325,2014-07-31,2727,28
60 months,E,2012-03-31,2523325,2014-11-30,13789,32
60 months,E,2012-03-31,2523325,2014-12-31,47365,33
60 months,E,2012-03-31,2523325,2015-02-28,14125,35
60 months,E,2012-03-31,2523325,2015-03-31,40236,36
60 months,E,2012-03-31,2523325,2015-05-31,27290,38
60 months,E,2012-03-31,2523325,2015-06-30,27711,39
60 months,E,2012-04-30,2451550,,,
60 months,E,2012-04-30,2451550,2012-11-30,10394,7
60 months,E,2012-04-30,2451550,2012-12-31,29721,8
60 months,E,2012-04-30,2451550,2013-01-31,48073,9
60 months,E,2012-04-30,2451550,2013-02-28,54733,10
60 months,E,2012-04-30,2451550,2013-03-31,8657,11
60 months,E,2012-04-30,2451550,2013-06-30,18112,14
60 months,E,2012-04-30,2451550,2013-07-31,14368,15
60 months,E,2012-04-30,2451550,2013-10-31,42792,18
60 months,E,2012-04-30,2451550,2013-11-30,10185,19
60 months,E,2012-04-30,2451550,2013-12-31,13460,20
60 months,E,2012-04-30,2451550,2014-01-31,38322,21
60 months,E,2012-04-30,2451550,2014-04-30,26793,24
60 months,E,2012-04-30,2451550,2014-07-31,16871,27
60 months,E,2012-04-30,2451550,2014-08-31,15296,28
60 months,E,2012-04-30,2451550,2014-09-30,20905,29
60 months,E,2012-04-30,2451550,2014-10-31,44161,30
60 months,E,2012-04-30,2451550,2014-12-31,23693,32
60 months,E,2012-04-30,2451550,2015-01-31,17329,33
60 months,E,2012-04-30,2451550,2015-03-31,18770,35
60 months,E,2012-04-30,2451550,2015-09-30,15975,41
60 months,E,2012-05-31,3348075,,,
60 months,E,2012-05-31,3348075,2012-10-31,35000,5
60 months,E,2012-05-31,3348075,2013-01-31,35941,8
60 months,E,2012-05-31,3348075,2013-02-28,47197,9
60 months,E,2012-05-31,3348075,2013-03-31,23149,10
60 months,E,2012-05-31,3348075,2013-04-30,73419,11
60 months,E,2012-05-31,3348075,2013-06-30,53782,13
60 months,E,2012-05-31,3348075,2013-07-31,12922,14
60 months,E,2012-05-31,3348075,2013-09-30,15601,16
60 months,E,2012-05-31,3348075,2013-10-31,39344,17
60 months,E,2012-05-31,3348075,2013-11-30,38301,18
60 months,E,2012-05-31,3348075,2014-01-31,114956,20
60 months,E,2012-05-31,3348075,2014-02-28,67121,21
60 months,E,2012-05-31,3348075,2014-03-31,17191,22
60 months,E,2012-05-31,3348075,2014-04-30,28446,23
60 months,E,2012-05-31,3348075,2014-05-31,22645,24
60 months,E,2012-05-31,3348075,2014-06-30,27673,25
60 months,E,2012-05-31,3348075,2014-08-31,30557,27
60 months,E,2012-05-31,3348075,2014-09-30,59701,28
60 months,E,2012-05-31,3348075,2014-10-31,29244,29
60 months,E,2012-05-31,3348075,2014-12-31,41188,31
60 months,E,2012-05-31,3348075,2015-01-31,26168,32
60 months,E,2012-05-31,3348075,2015-04-30,18915,35
60 months,E,2012-05-31,3348075,2015-05-31,44064,36
60 months,E,2012-05-31,3348075,2015-06-30,15218,37
60 months,E,2012-05-31,3348075,2015-08-31,18540,39
60 months,E,2012-06-30,4625900,,,
60 months,E,2012-06-30,4625900,2013-02-28,18065,8
60 months,E,2012-06-30,4625900,2013-03-31,66714,9
60 months,E,2012-06-30,4625900,2013-05-31,2816,11
60 months,E,2012-06-30,4625900,2013-06-30,30860,12
60 months,E,2012-06-30,4625900,2013-07-31,27104,13
60 months,E,2012-06-30,4625900,2013-08-31,41556,14
60 months,E,2012-06-30,4625900,2013-09-30,108269,15
60 months,E,2012-06-30,4625900,2013-10-31,38501,16
60 months,E,2012-06-30,4625900,2013-11-30,69299,17
60 months,E,2012-06-30,4625900,2013-12-31,30829,18
60 months,E,2012-06-30,4625900,2014-01-31,33731,19
60 months,E,2012-06-30,4625900,2014-02-28,70352,20
60 months,E,2012-06-30,4625900,2014-03-31,20915,21
60 months,E,2012-06-30,4625900,2014-04-30,32616,22
60 months,E,2012-06-30,4625900,2014-05-31,56690,23
60 months,E,2012-06-30,4625900,2014-07-31,43525,25
60 months,E,2012-06-30,4625900,2014-08-31,41089,26
60 months,E,2012-06-30,4625900,2014-09-30,59349,27
60 months,E,2012-06-30,4625900,2014-10-31,14383,28
60 months,E,2012-06-30,4625900,2014-11-30,39459,29
60 months,E,2012-06-30,4625900,2014-12-31,13619,30
60 months,E,2012-06-30,4625900,2015-01-31,70845,31
60 months,E,2012-06-30,4625900,2015-02-28,25267,32
60 months,E,2012-06-30,4625900,2015-03-31,21248,33
60 months,E,2012-06-30,4625900,2015-04-30,48003,34
60 months,E,2012-06-30,4625900,2015-05-31,18984,35
60 months,E,2012-06-30,4625900,2015-06-30,47237,36
60 months,E,2012-07-31,4996050,,,
60 months,E,2012-07-31,4996050,2013-01-31,15854,6
60 months,E,2012-07-31,4996050,2013-02-28,34571,7
60 months,E,2012-07-31,4996050,2013-06-30,15210,11
60 months,E,2012-07-31,4996050,2013-07-31,16763,12
60 months,E,2012-07-31,4996050,2013-08-31,42548,13
60 months,E,2012-07-31,4996050,2013-09-30,18668,14
60 months,E,2012-07-31,4996050,2013-10-31,54212,15
60 months,E,2012-07-31,4996050,2013-11-30,77037,16
60 months,E,2012-07-31,4996050,2013-12-31,48912,17
60 months,E,2012-07-31,4996050,2014-01-31,27810,18
60 months,E,2012-07-31,4996050,2014-02-28,136462,19
60 months,E,2012-07-31,4996050,2014-03-31,29830,20
60 months,E,2012-07-31,4996050,2014-05-31,14307,22
60 months,E,2012-07-31,4996050,2014-06-30,12836,23
60 months,E,2012-07-31,4996050,2014-07-31,38452,24
60 months,E,2012-07-31,4996050,2014-08-31,42775,25
60 months,E,2012-07-31,4996050,2014-09-30,78252,26
60 months,E,2012-07-31,4996050,2014-10-31,80081,27
60 months,E,2012-07-31,4996050,2014-11-30,25637,28
60 months,E,2012-07-31,4996050,2014-12-31,24388,29
60 months,E,2012-07-31,4996050,2015-01-31,56513,30
60 months,E,2012-07-31,4996050,2015-02-28,11621,31
60 months,E,2012-07-31,4996050,2015-03-31,31779,32
60 months,E,2012-07-31,4996050,2015-04-30,6918,33
60 months,E,2012-07-31,4996050,2015-05-31,50828,34
60 months,E,2012-08-31,5458975,,,
60 months,E,2012-08-31,5458975,2013-03-31,21203,7
60 months,E,2012-08-31,5458975,2013-04-30,33968,8
60 months,E,2012-08-31,5458975,2013-05-31,34647,9
60 months,E,2012-08-31,5458975,2013-06-30,45350,10
60 months,E,2012-08-31,5458975,2013-08-31,93958,12
60 months,E,2012-08-31,5458975,2013-09-30,27564,13
60 months,E,2012-08-31,5458975,2013-10-31,80540,14
60 months,E,2012-08-31,5458975,2013-11-30,54611,15
60 months,E,2012-08-31,5458975,2013-12-31,54189,16
60 months,E,2012-08-31,5458975,2014-01-31,54496,17
60 months,E,2012-08-31,5458975,2014-03-31,74256,19
60 months,E,2012-08-31,5458975,2014-04-30,21873,20
60 months,E,2012-08-31,5458975,2014-05-31,29555,21
60 months,E,2012-08-31,5458975,2014-06-30,70688,22
60 months,E,2012-08-31,5458975,2014-07-31,65197,23
60 months,E,2012-08-31,5458975,2014-09-30,30170,25
60 months,E,2012-08-31,5458975,2014-10-31,23017,26
60 months,E,2012-08-31,5458975,2014-11-30,32114,27
60 months,E,2012-08-31,5458975,2014-12-31,39072,28
60 months,E,2012-08-31,5458975,2015-01-31,80245,29
60 months,E,2012-08-31,5458975,2015-02-28,66481,30
60 months,E,2012-08-31,5458975,2015-03-31,58433,31
60 months,E,2012-08-31,5458975,2015-04-30,25292,32
60 months,E,2012-08-31,5458975,2015-05-31,26686,33
60 months,E,2012-09-30,5262425,,,
60 months,E,2012-09-30,5262425,2013-03-31,7059,6
60 months,E,2012-09-30,5262425,2013-04-30,15696,7
60 months,E,2012-09-30,5262425,2013-06-30,12655,9
60 months,E,2012-09-30,5262425,2013-09-30,24121,12
60 months,E,2012-09-30,5262425,2013-10-31,65382,13
60 months,E,2012-09-30,5262425,2013-11-30,51965,14
60 months,E,2012-09-30,5262425,2013-12-31,44894,15
60 months,E,2012-09-30,5262425,2014-01-31,37985,16
60 months,E,2012-09-30,5262425,2014-02-28,34185,17
60 months,E,2012-09-30,5262425,2014-03-31,32002,18
60 months,E,2012-09-30,5262425,2014-04-30,8502,19
60 months,E,2012-09-30,5262425,2014-05-31,53957,20
60 months,E,2012-09-30,5262425,2014-06-30,14859,21
60 months,E,2012-09-30,5262425,2014-07-31,79707,22
60 months,E,2012-09-30,5262425,2014-08-31,75960,23
60 months,E,2012-09-30,5262425,2014-09-30,39955,24
60 months,E,2012-09-30,5262425,2014-10-31,136538,25
60 months,E,2012-09-30,5262425,2014-11-30,41606,26
60 months,E,2012-09-30,5262425,2014-12-31,21030,27
60 months,E,2012-09-30,5262425,2015-01-31,41050,28
60 months,E,2012-09-30,5262425,2015-02-28,67310,29
60 months,E,2012-09-30,5262425,2015-03-31,49032,30
60 months,E,2012-09-30,5262425,2015-04-30,40710,31
60 months,E,2012-09-30,5262425,2015-05-31,38407,32
60 months,E,2012-09-30,5262425,2015-06-30,21236,33
60 months,E,2012-09-30,5262425,2015-08-31,11073,35
60 months,E,2012-09-30,5262425,2015-09-30,12286,36
60 months,E,2012-10-31,6710125,,,
60 months,E,2012-10-31,6710125,2013-04-30,23102,6
60 months,E,2012-10-31,6710125,2013-07-31,15375,9
60 months,E,2012-10-31,6710125,2013-09-30,17315,11
60 months,E,2012-10-31,6710125,2013-10-31,42317,12
60 months,E,2012-10-31,6710125,2013-11-30,148792,13
60 months,E,2012-10-31,6710125,2014-01-31,69183,15
60 months,E,2012-10-31,6710125,2014-02-28,54266,16
60 months,E,2012-10-31,6710125,2014-03-31,73765,17
60 months,E,2012-10-31,6710125,2014-04-30,86846,18
60 months,E,2012-10-31,6710125,2014-05-31,37113,19
60 months,E,2012-10-31,6710125,2014-06-30,59588,20
60 months,E,2012-10-31,6710125,2014-07-31,17480,21
60 months,E,2012-10-31,6710125,2014-08-31,163828,22
60 months,E,2012-10-31,6710125,2014-09-30,39172,23
60 months,E,2012-10-31,6710125,2014-10-31,29018,24
60 months,E,2012-10-31,6710125,2014-11-30,25316,25
60 months,E,2012-10-31,6710125,2014-12-31,42509,26
60 months,E,2012-10-31,6710125,2015-01-31,97123,27
60 months,E,2012-10-31,6710125,2015-02-28,27781,28
60 months,E,2012-10-31,6710125,2015-03-31,28429,29
60 months,E,2012-10-31,6710125,2015-04-30,52433,30
60 months,E,2012-10-31,6710125,2015-05-31,47214,31
60 months,E,2012-10-31,6710125,2015-06-30,44515,32
60 months,E,2012-11-30,8204825,,,
60 months,E,2012-11-30,8204825,2013-06-30,123363,7
60 months,E,2012-11-30,8204825,2013-07-31,52959,8
60 months,E,2012-11-30,8204825,2013-08-31,30921,9
60 months,E,2012-11-30,8204825,2013-09-30,55127,10
60 months,E,2012-11-30,8204825,2013-10-31,22620,11
60 months,E,2012-11-30,8204825,2013-12-31,61486,13
60 months,E,2012-11-30,8204825,2014-01-31,41685,14
60 months,E,2012-11-30,8204825,2014-03-31,68857,16
60 months,E,2012-11-30,8204825,2014-04-30,100325,17
60 months,E,2012-11-30,8204825,2014-05-31,83458,18
60 months,E,2012-11-30,8204825,2014-06-30,189854,19
60 months,E,2012-11-30,8204825,2014-07-31,60218,20
60 months,E,2012-11-30,8204825,2014-08-31,33377,21
60 months,E,2012-11-30,8204825,2014-10-31,83099,23
60 months,E,2012-11-30,8204825,2014-11-30,84629,24
60 months,E,2012-11-30,8204825,2014-12-31,33296,25
60 months,E,2012-11-30,8204825,2015-01-31,44820,26
60 months,E,2012-11-30,8204825,2015-02-28,54523,27
60 months,E,2012-11-30,8204825,2015-03-31,55884,28
60 months,E,2012-11-30,8204825,2015-04-30,42607,29
60 months,E,2012-11-30,8204825,2015-05-31,38162,30
60 months,E,2012-11-30,8204825,2015-07-31,13934,32
60 months,E,2012-11-30,8204825,2015-08-31,16725,33
60 months,E,2012-12-31,5798250,,,
60 months,E,2012-12-31,5798250,2013-10-31,89577,10
60 months,E,2012-12-31,5798250,2013-11-30,25792,11
60 months,E,2012-12-31,5798250,2013-12-31,27971,12
60 months,E,2012-12-31,5798250,2014-01-31,56152,13
60 months,E,2012-12-31,5798250,2014-02-28,100475,14
60 months,E,2012-12-31,5798250,2014-03-31,74807,15
60 months,E,2012-12-31,5798250,2014-04-30,31716,16
60 months,E,2012-12-31,5798250,2014-05-31,13415,17
60 months,E,2012-12-31,5798250,2014-06-30,19144,18
60 months,E,2012-12-31,5798250,2014-07-31,30177,19
60 months,E,2012-12-31,5798250,2014-08-31,61892,20
60 months,E,2012-12-31,5798250,2014-09-30,68032,21
60 months,E,2012-12-31,5798250,2014-10-31,37273,22
60 months,E,2012-12-31,5798250,2014-11-30,71863,23
60 months,E,2012-12-31,5798250,2014-12-31,33025,24
60 months,E,2012-12-31,5798250,2015-01-31,19511,25
60 months,E,2012-12-31,5798250,2015-03-31,29643,27
60 months,E,2012-12-31,5798250,2015-04-30,40798,28
60 months,E,2012-12-31,5798250,2015-05-31,39837,29
60 months,E,2012-12-31,5798250,2015-06-30,14277,30
60 months,E,2012-12-31,5798250,2015-08-31,16232,32
60 months,E,2013-01-31,5739925,,,
60 months,E,2013-01-31,5739925,2013-06-30,19125,5
60 months,E,2013-01-31,5739925,2013-09-30,17476,8
60 months,E,2013-01-31,5739925,2013-11-30,50807,10
60 months,E,2013-01-31,5739925,2014-01-31,65938,12
60 months,E,2013-01-31,5739925,2014-03-31,11611,14
60 months,E,2013-01-31,5739925,2014-04-30,63459,15
60 months,E,2013-01-31,5739925,2014-05-31,109902,16
60 months,E,2013-01-31,5739925,2014-06-30,13981,17
60 months,E,2013-01-31,5739925,2014-07-31,63862,18
60 months,E,2013-01-31,5739925,2014-08-31,44720,19
60 months,E,2013-01-31,5739925,2014-09-30,37723,20
60 months,E,2013-01-31,5739925,2014-10-31,43736,21
60 months,E,2013-01-31,5739925,2014-11-30,130063,22
60 months,E,2013-01-31,5739925,2014-12-31,72582,23
60 months,E,2013-01-31,5739925,2015-01-31,24136,24
60 months,E,2013-01-31,5739925,2015-02-28,49269,25
60 months,E,2013-01-31,5739925,2015-03-31,64556,26
60 months,E,2013-01-31,5739925,2015-04-30,13684,27
60 months,E,2013-01-31,5739925,2015-05-31,51691,28
60 months,E,2013-01-31,5739925,2015-06-30,11973,29
60 months,E,2013-01-31,5739925,2015-07-31,16046,30
60 months,E,2013-02-28,5914950,,,
60 months,E,2013-02-28,5914950,2013-11-30,71962,9
60 months,E,2013-02-28,5914950,2013-12-31,30418,10
60 months,E,2013-02-28,5914950,2014-02-28,82132,12
60 months,E,2013-02-28,5914950,2014-03-31,75692,13
60 months,E,2013-02-28,5914950,2014-04-30,72059,14
60 months,E,2013-02-28,5914950,2014-06-30,17279,16
60 months,E,2013-02-28,5914950,2014-07-31,58573,17
60 months,E,2013-02-28,5914950,2014-08-31,67127,18
60 months,E,2013-02-28,5914950,2014-09-30,20724,19
60 months,E,2013-02-28,5914950,2014-10-31,33874,20
60 months,E,2013-02-28,5914950,2014-11-30,30987,21
60 months,E,2013-02-28,5914950,2014-12-31,29957,22
60 months,E,2013-02-28,5914950,2015-01-31,68739,23
60 months,E,2013-02-28,5914950,2015-02-28,68140,24
60 months,E,2013-02-28,5914950,2015-03-31,15035,25
60 months,E,2013-02-28,5914950,2015-05-31,53599,27
60 months,E,2013-02-28,5914950,2015-06-30,69441,28
60 months,E,2013-02-28,5914950,2015-07-31,25224,29
60 months,E,2013-03-31,6480550,,,
60 months,E,2013-03-31,6480550,2013-10-31,67195,7
60 months,E,2013-03-31,6480550,2014-01-31,47606,10
60 months,E,2013-03-31,6480550,2014-02-28,30727,11
60 months,E,2013-03-31,6480550,2014-03-31,91076,12
60 months,E,2013-03-31,6480550,2014-04-30,78364,13
60 months,E,2013-03-31,6480550,2014-05-31,48159,14
60 months,E,2013-03-31,6480550,2014-06-30,24508,15
60 months,E,2013-03-31,6480550,2014-07-31,56421,16
60 months,E,2013-03-31,6480550,2014-08-31,53942,17
60 months,E,2013-03-31,6480550,2014-09-30,49746,18
60 months,E,2013-03-31,6480550,2014-10-31,42932,19
60 months,E,2013-03-31,6480550,2014-11-30,21392,20
60 months,E,2013-03-31,6480550,2014-12-31,49765,21
60 months,E,2013-03-31,6480550,2015-02-28,75927,23
60 months,E,2013-03-31,6480550,2015-03-31,62721,24
60 months,E,2013-03-31,6480550,2015-04-30,20354,25
60 months,E,2013-03-31,6480550,2015-07-31,57792,28
60 months,E,2013-03-31,6480550,2015-08-31,13918,29
60 months,E,2013-03-31,6480550,2015-09-30,26609,30
60 months,E,2013-04-30,8869100,,,
60 months,E,2013-04-30,8869100,2013-12-31,65252,8
60 months,E,2013-04-30,8869100,2014-01-31,65771,9
60 months,E,2013-04-30,8869100,2014-02-28,59964,10
60 months,E,2013-04-30,8869100,2014-03-31,146552,11
60 months,E,2013-04-30,8869100,2014-04-30,59721,12
60 months,E,2013-04-30,8869100,2014-05-31,90802,13
60 months,E,2013-04-30,8869100,2014-06-30,175883,14
60 months,E,2013-04-30,8869100,2014-07-31,68432,15
60 months,E,2013-04-30,8869100,2014-08-31,62382,16
60 months,E,2013-04-30,8869100,2014-09-30,160831,17
60 months,E,2013-04-30,8869100,2014-10-31,76809,18
60 months,E,2013-04-30,8869100,2014-11-30,93844,19
60 months,E,2013-04-30,8869100,2014-12-31,14941,20
60 months,E,2013-04-30,8869100,2015-01-31,107449,21
60 months,E,2013-04-30,8869100,2015-02-28,81960,22
60 months,E,2013-04-30,8869100,2015-03-31,37459,23
60 months,E,2013-04-30,8869100,2015-04-30,45793,24
60 months,E,2013-04-30,8869100,2015-05-31,66935,25
60 months,E,2013-04-30,8869100,2015-06-30,40202,26
60 months,E,2013-04-30,8869100,2015-07-31,42664,27
60 months,E,2013-05-31,12282475,,,
60 months,E,2013-05-31,12282475,2013-11-30,29725,6
60 months,E,2013-05-31,12282475,2013-12-31,27462,7
60 months,E,2013-05-31,12282475,2014-01-31,61712,8
60 months,E,2013-05-31,12282475,2014-02-28,72418,9
60 months,E,2013-05-31,12282475,2014-03-31,51972,10
60 months,E,2013-05-31,12282475,2014-04-30,37102,11
60 months,E,2013-05-31,12282475,2014-05-31,81918,12
60 months,E,2013-05-31,12282475,2014-06-30,70907,13
60 months,E,2013-05-31,12282475,2014-07-31,49212,14
60 months,E,2013-05-31,12282475,2014-08-31,68654,15
60 months,E,2013-05-31,12282475,2014-09-30,198158,16
60 months,E,2013-05-31,12282475,2014-10-31,75120,17
60 months,E,2013-05-31,12282475,2014-11-30,60344,18
60 months,E,2013-05-31,12282475,2014-12-31,53100,19
60 months,E,2013-05-31,12282475,2015-01-31,129004,20
60 months,E,2013-05-31,12282475,2015-02-28,110171,21
60 months,E,2013-05-31,12282475,2015-03-31,104748,22
60 months,E,2013-05-31,12282475,2015-04-30,79290,23
60 months,E,2013-05-31,12282475,2015-05-31,45915,24
60 months,E,2013-05-31,12282475,2015-06-30,9419,25
60 months,E,2013-05-31,12282475,2015-07-31,87488,26
60 months,E,2013-05-31,12282475,2015-08-31,36291,27
60 months,E,2013-05-31,12282475,2015-10-31,10618,29
60 months,E,2013-06-30,11553575,,,
60 months,E,2013-06-30,11553575,2014-02-28,38568,8
60 months,E,2013-06-30,11553575,2014-03-31,154757,9
60 months,E,2013-06-30,11553575,2014-04-30,52318,10
60 months,E,2013-06-30,11553575,2014-05-31,71996,11
60 months,E,2013-06-30,11553575,2014-06-30,47703,12
60 months,E,2013-06-30,11553575,2014-07-31,49829,13
60 months,E,2013-06-30,11553575,2014-08-31,85180,14
60 months,E,2013-06-30,11553575,2014-09-30,114596,15
60 months,E,2013-06-30,11553575,2014-10-31,162051,16
60 months,E,2013-06-30,11553575,2014-11-30,106920,17
60 months,E,2013-06-30,11553575,2014-12-31,91623,18
60 months,E,2013-06-30,11553575,2015-01-31,116056,19
60 months,E,2013-06-30,11553575,2015-02-28,211168,20
60 months,E,2013-06-30,11553575,2015-03-31,118670,21
60 months,E,2013-06-30,11553575,2015-04-30,38737,22
60 months,E,2013-06-30,11553575,2015-05-31,62298,23
60 months,E,2013-06-30,11553575,2015-06-30,23543,24
60 months,E,2013-06-30,11553575,2015-07-31,46322,25
60 months,E,2013-06-30,11553575,2015-09-30,47160,27
60 months,E,2013-07-31,11499875,,,
60 months,E,2013-07-31,11499875,2014-02-28,27052,7
60 months,E,2013-07-31,11499875,2014-03-31,15555,8
60 months,E,2013-07-31,11499875,2014-04-30,15882,9
60 months,E,2013-07-31,11499875,2014-05-31,103357,10
